axis,record_role,source_group,count,cancer
functional,L,dependency,5,PDAC
functional,L,driver,3,PDAC
functional,L,literature,16,PDAC
functional,V,literature,30,PDAC
translational,L,biomarker,5,PDAC
translational,L,drug,4,PDAC
translational,V,biomarker,5,PDAC
translational,V,drug,4,PDAC
translational,V,literature,4,PDAC
functional,L,dependency,15,LUAD
functional,L,literature,11,LUAD
functional,V,dependency,15,LUAD
functional,V,literature,22,LUAD
translational,L,drug,6,LUAD
translational,V,drug,5,LUAD
translational,V,literature,3,LUAD

