gene_symbol,review_class,translational_precedence_rank,functional_discovery_rank,translational_precedence_score,functional_discovery_score,patient_alteration,proteomic_support,external_reproducibility,dependency,druggability,safety_factor,safety_risk,open_targets,limiting_evidence,record_role
EGFR,Class I: translational-precedence candidate,1,2989,0.9996751727431964,0.5080088100619277,0.5598130600373645,1.0,0.2891686511888854,0.1327375994442442,0.9333333333333332,0.4783267171836124,0.5216732828163876,0.811654166895273,,L
KRAS,Class I: translational-precedence candidate,6,654,0.9478554888687524,0.6834763862848152,0.6200206371764656,0.4260039049567026,0.6002816998203111,0.5321638452403322,0.7111111111111111,0.4839390274013894,0.5160609725986106,0.7568685087625961,,V
ALK,Class I: translational-precedence candidate,9,7924,0.9335891786322138,0.3374910187014434,0.6034396914241458,0.3090909090909091,0.4484128899860551,0.0427596826828511,0.7555555555555555,0.6137590172152034,0.3862409827847965,0.6392811150614035,weak functional-discovery support,L
MET,Class I: translational-precedence candidate,11,4722,0.9240418232586745,0.4342847339496614,0.4409228016012025,0.9851538699644368,0.1479668170126424,0.0360004739807278,0.8666666666666667,0.4794935763993418,0.5205064236006581,0.5895535981766695,weak functional-discovery support,L
BRAF,Class I: translational-precedence candidate,17,1333,0.9015538902002244,0.6152389537729409,0.5651786287116272,1.0,0.2981345202788132,0.0392694118907183,0.8222222222222223,0.497087510040942,0.502912489959058,0.7149693437466139,weak functional-discovery support,L
ERBB3,Class I: translational-precedence candidate,21,5324,0.8818072986035848,0.4140601062572547,0.3196765222226323,1.0,0.0852224593662997,0.0961783015770117,0.8666666666666667,0.4254456937772706,0.5745543062227294,0.3063480677011013,,V
RET,Class I: translational-precedence candidate,22,6443,0.881338422488984,0.3798189936620264,0.7068062827225131,0.0,0.5275293218868623,0.0550586437737246,0.8222222222222223,0.5615800685881134,0.4384199314118867,0.5923413163742232,,L
NTRK1,Class I: translational-precedence candidate,23,7892,0.8802893278458399,0.3383969953190867,0.6147438676576642,0.0,0.1924531657605054,0.0135732457430719,0.8222222222222223,0.5983260753848803,0.4016739246151197,0.4069811381028992,weak functional-discovery support,V
NTRK3,Class I: translational-precedence candidate,28,11744,0.8566968354040173,0.2377627672146484,0.6092007006724791,0.0,0.3202784116764831,0.0092905775304703,0.7555555555555555,0.4966559642061284,0.5033440357938715,0.3754433152990378,weak functional-discovery support,V
ERBB2,Class VI: insufficient or mixed evidence,143,2049,0.6352113203554859,0.5618108426214226,0.4244306550043439,1.0,0.2263786680010217,0.1928241759574863,0.8222222222222223,0.3976624416570561,0.6023375583429439,0.6322071927457489,safety constraint,V

